href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1,afrikaans1,female,"['virginia', 'south africa']",afrikaans (afr),"['tswana', '']","['27,', 'female', '']",9,academic,['usa'],0.5,27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2,afrikaans2,male,"['pretoria', 'south africa']",afrikaans (afr),"['dutch', 'german', 'french', '']","['40,', 'male', '']",5,academic,['usa'],10,40
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=418,afrikaans3,male,"['pretoria', 'transvaal', 'south africa']",afrikaans (afr),"['gujarati', 'sindhi', 'french', '']","['43,', 'male', '']",4,naturalistic,['usa'],20.7,43
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1159,afrikaans4,male,"['pretoria', 'south africa']",afrikaans (afr),"['flemish', 'dutch', '']","['26,', 'male', '']",8,academic,['usa'],15,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1432,afrikaans5,male,"['cape town', 'south africa']",afrikaans (afr),['none'],"['19,', 'male', '']",6,academic,['australia'],9,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2527,afrikaans6,male,"['capetown', 'south africa']",afrikaans (afr),"['german', 'korean', '']","['29,', 'male', '']",5,naturalistic,['south africa'],23,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=3,agni1,male,"['diekabo', 'ivory coast']",afrikaans (afr),"['french', '']","['25,', 'male', '']",15,academic,['usa'],1.2,25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=979,akan1,male,"['accra', 'ghana']",afrikaans (afr),['none'],"['41,', 'male', '']",5,academic,"['ghana', 'usa']",41,41
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1977,ashanti1,female,"['accra', 'ghana']",afrikaans (afr),"['french', 'fanti', '']","['42,', 'female', '']",1,naturalistic,"['ghana', 'usa']",42,42
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=167,fanti1,male,"['ajumako', 'ghana']",afrikaans (afr),['none'],"['32,', 'male', '']",6,academic,['usa'],7,32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1511,fanti2,female,"['accra', 'ghana']",afrikaans (afr),"['ga', 'twi', 'ewe', '']","['24,', 'female', '']",7,academic,"['uk', 'usa']",10.5,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1863,fanti3,female,"['accra', 'ghana']",afrikaans (afr),"['french', '']","['46,', 'female', '']",5,academic,['usa'],21,46
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=388,twi1,female,"['kumasi', 'ghana']",afrikaans (afr),['none'],"['25,', 'female', '']",12,academic,['usa'],12,25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=389,twi2,male,"['ajumako', 'ghana']",afrikaans (afr),"['french', '']","['33,', 'male', '']",6,academic,['usa'],2,33
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2214,twi3,female,"['dormaa', 'ghana']",afrikaans (afr),"['french', '']","['23,', 'female', '']",6,academic,['usa'],0.2,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1779,twi4,female,"['tema', 'ghana']",afrikaans (afr),"['french', '']","['22,', 'female', '']",6,academic,['usa'],6,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2001,twi5,male,"['woodbridge', 'virginia', 'usa']",afrikaans (afr),"['spanish', '']","['19,', 'male', '']",5,naturalistic,['usa'],19,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2138,twi6,male,"['kumasi', 'ghana']",afrikaans (afr),['none'],"['20,', 'male', '']",4,academic,['usa'],3.4,20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2215,twi7,female,"['abidjan', 'ivory coast']",afrikaans (afr),"['french', 'german', 'spanish', 'akan', '']","['19,', 'female', '']",3,naturalistic,['usa'],0.2,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2604,twi8,female,"['accra', 'ghana']",afrikaans (afr),"['french', 'ewe', '']","['19,', 'female', '']",10,naturalistic,['usa'],4,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=4,albanian1,male,"['prishtina', 'kosovo']",afrikaans (afr),"['serbian', 'macedonian', 'bosnian', '']","['19,', 'male', '']",6,naturalistic,['usa'],3,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=5,albanian2,male,"['tirana', 'albania']",afrikaans (afr),"['german', 'italian', '']","['33,', 'male', '']",15,naturalistic,['usa'],0.04,33
