href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=61,english1,male,"['pittsburgh', 'pennsylvania', 'usa']",english (eng),"['mandarin', '']","['42,', 'male', '']",0,naturalistic,['usa'],41,42
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=77,english2,female,"['birmingham', 'uk']",english (eng),"['german', 'mandarin', '']","['30,', 'female', '']",0,naturalistic,['uk'],30,30
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=88,english3,female,"['brisbane', 'australia']",english (eng),['none'],"['26,', 'female', '']",0,naturalistic,['australia'],26,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=99,english4,female,"[""saint anne's bay"", 'jamaica']",english (eng),"['spanish', 'french', '']","['53,', 'female', '']",0,naturalistic,"['jamaica,usa']",53,53
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=110,english5,male,"['fairfax', 'virginia', 'usa']",english (eng),['none'],"['62,', 'male', '']",0,naturalistic,['usa'],62,62
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=121,english6,female,"['brooklyn', 'new york', 'usa']",english (eng),"['french', 'spanish', '']","['45,', 'female', '']",0,naturalistic,['usa'],45,45
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=132,english7,male,"['macon', 'mississippi', 'usa']",english (eng),"['spanish', 'french', '']","['52,', 'male', '']",0,naturalistic,['usa'],52,52
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=143,english8,female,"['perth', 'australia']",english (eng),"['french', '']","['21,', 'female', '']",0,naturalistic,"['australia,usa']",4,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=154,english9,female,"['carthage', 'texas', 'usa']",english (eng),"['spanish', '']","['48,', 'female', '']",0,naturalistic,['usa'],48,48
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=62,english10,female,"['davenport', 'iowa', 'usa']",english (eng),['none'],"['35,', 'female', '']",0,naturalistic,['usa'],35,35
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=68,english11,female,"['staffordshire', 'uk']",english (eng),"['french', '']","['35,', 'female', '']",0,naturalistic,['uk'],35,35
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=69,english12,female,"['leicester', 'uk']",english (eng),"['french', '']","['71,', 'female', '']",0,naturalistic,['uk'],71,71
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=70,english13,male,"['henley on thames', 'oxfordshire', 'uk']",english (eng),['none'],"['69,', 'male', '']",0,naturalistic,['uk'],69,69
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=71,english14,male,"['belfast', 'northern ireland', 'uk']",english (eng),"['french', '']","['40,', 'male', '']",0,naturalistic,"['uk,usa']",40,40
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=72,english15,female,"['norton', 'virginia', 'usa']",english (eng),['none'],"['7,', 'female', '']",0,naturalistic,['usa'],7,7
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=73,english16,male,"['wise', 'virginia', 'usa']",english (eng),"['spanish', '']","['21,', 'male', '']",0,naturalistic,['usa'],21,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=74,english17,male,"['darwin va', 'virginia', 'usa']",english (eng),['none'],"['79,', 'male', '']",0,naturalistic,['usa'],79,79
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=75,english18,female,"['dickenson county', 'virginia', 'usa']",english (eng),['none'],"['39,', 'female', '']",0,naturalistic,['usa'],39,39
